16:03:49 - EVENT in util.XMLWriter: Created XML of item:spiderLeg
16:03:49 - EVENT in util.XMLWriter: Created XML of item:bronzeSword
16:03:49 - EVENT in util.XMLWriter: Created XML of item:diamondRing
16:03:49 - EVENT in util.XMLWriter: Created XML of item:steelShield
16:03:49 - EVENT in util.XMLWriter: Created XML of item:smallHealth
16:03:58 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:03:58 - EVENT in util.XMLWriter: Created XML of item: bronzeSword
16:03:58 - EVENT in util.XMLWriter: Created XML of item: diamondRing
16:03:58 - EVENT in util.XMLWriter: Created XML of item: steelShield
16:03:58 - EVENT in util.XMLWriter: Created XML of item: smallHealth
16:07:57 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:08:24 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:08:41 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:09:04 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:09:28 - EVENT in util.XMLWriter: Created XML of item: spiderLeg
16:09:28 - EVENT in util.XMLWriter: Created XML of item: bronzeSword
16:09:28 - EVENT in util.XMLWriter: Created XML of item: ironSword
16:09:28 - EVENT in util.XMLWriter: Created XML of item: steelSword
16:09:28 - EVENT in util.XMLWriter: Created XML of item: diamondRing
16:09:28 - EVENT in util.XMLWriter: Created XML of item: bronzeShield
16:09:28 - EVENT in util.XMLWriter: Created XML of item: ironShield
16:09:28 - EVENT in util.XMLWriter: Created XML of item: steelShield
16:09:28 - EVENT in util.XMLWriter: Created XML of item: smallHealth
16:09:28 - EVENT in util.XMLWriter: Created XML of item: mediumHealth
16:09:28 - EVENT in util.XMLWriter: Created XML of item: largeHealth
16:09:28 - EVENT in util.XMLWriter: Created XML of item: giantHealth
